J-Date,Date,Weekday,Open,High,Low,Close
1391-01-06,2012-03-25,Sunday,19000,19000,19000,19000
1391-01-08,2012-03-27,Tuesday,19200,19200,19200,19200
1391-01-09,2012-03-28,Wednesday,19200,19200,19200,19200
1391-01-13,2012-04-01,Sunday,19120,19120,19120,19120
1391-01-14,2012-04-02,Monday,19000,19000,19000,19000
1391-01-15,2012-04-03,Tuesday,18950,18950,18950,18950
1391-01-16,2012-04-04,Wednesday,19000,19000,19000,19000
1391-01-18,2012-04-06,Friday,19100,19100,19100,19100
1391-01-19,2012-04-07,Saturday,19010,19010,19010,19010
1391-01-20,2012-04-08,Sunday,19000,19000,19000,19000
1391-01-21,2012-04-09,Monday,18650,18650,18650,18650
1391-01-22,2012-04-10,Tuesday,18800,18800,18800,18800
1391-01-23,2012-04-11,Wednesday,18840,18840,18840,18840
1391-01-25,2012-04-13,Friday,18800,18800,18800,18800
1391-01-26,2012-04-14,Saturday,17300,17300,17300,17300
1391-01-27,2012-04-15,Sunday,17800,17800,17800,17800
1391-01-28,2012-04-16,Monday,18000,18000,18000,18000
1391-01-29,2012-04-17,Tuesday,18240,18240,18240,18240
1391-01-30,2012-04-18,Wednesday,18180,18180,18180,18180
1391-02-01,2012-04-20,Friday,18030,18030,18030,18030
1391-02-02,2012-04-21,Saturday,17950,17950,17950,17950
1391-02-03,2012-04-22,Sunday,17790,17790,17790,17790
1391-02-04,2012-04-23,Monday,17580,17580,17580,17580
1391-02-06,2012-04-25,Wednesday,17480,17480,17480,17480
1391-02-08,2012-04-27,Friday,16650,16650,16650,16650
1391-02-09,2012-04-28,Saturday,17340,17340,17340,17340
1391-02-10,2012-04-29,Sunday,17250,17250,17250,17250
1391-02-11,2012-04-30,Monday,17100,17100,17100,17100
1391-02-12,2012-05-01,Tuesday,17090,17090,17090,17090
1391-02-13,2012-05-02,Wednesday,17050,17050,17050,17050
1391-02-15,2012-05-04,Friday,16780,16780,16780,16780
1391-02-16,2012-05-05,Saturday,16720,16720,16720,16720
1391-02-17,2012-05-06,Sunday,16640,16640,16640,16640
1391-02-18,2012-05-07,Monday,16550,16550,16550,16550
1391-02-19,2012-05-08,Tuesday,16500,16500,16500,16500
1391-02-20,2012-05-09,Wednesday,16190,16190,16190,16190
1391-02-22,2012-05-11,Friday,15890,15890,15890,15890
1391-02-23,2012-05-12,Saturday,15750,15750,15750,15750
1391-02-24,2012-05-13,Sunday,16250,16250,16250,16250
1391-02-25,2012-05-14,Monday,16690,16690,16690,16690
1391-02-26,2012-05-15,Tuesday,16380,16380,16380,16380
1391-02-27,2012-05-16,Wednesday,16650,16650,16650,16650
1391-02-29,2012-05-18,Friday,16850,16850,16850,16850
1391-02-30,2012-05-19,Saturday,16760,16760,16760,16760
1391-02-31,2012-05-20,Sunday,16850,16850,16850,16850
1391-03-01,2012-05-21,Monday,16690,16690,16690,16690
1391-03-02,2012-05-22,Tuesday,16710,16710,16710,16710
1391-03-03,2012-05-23,Wednesday,17600,17600,17600,17600
1391-03-05,2012-05-25,Friday,17670,17670,17670,17670
1391-03-06,2012-05-26,Saturday,17200,17200,17200,17200
1391-03-07,2012-05-27,Sunday,17300,17300,17300,17300
1391-03-08,2012-05-28,Monday,17600,17600,17600,17600
1391-03-09,2012-05-29,Tuesday,17680,17680,17680,17680
1391-03-10,2012-05-30,Wednesday,17700,17700,17700,17700
1391-03-12,2012-06-01,Friday,17770,17770,17770,17770
